scenario,cohort,metric,n,smpc_mean,dmpc_mean,mean_difference,ci95_low,ci95_high,median_difference,wilcoxon_stat,p_value,rank_biserial,q_value_bh
standard,adult,TIR,100,93.86458333333334,93.68055555555557,0.18402777777777835,-0.3506944444444428,0.8160590277777783,0.0,1690.0,0.2859468875347214,0.33069306930693065,0.4289203313020821
standard,child,TIR,100,86.2361111111111,80.40972222222223,5.82638888888889,3.204774305555555,8.719010416666668,0.6944444444444429,1587.5,0.001983243556224758,0.3712871287128713,0.006247217202107988
variable,adolescent,TIR,100,88.00694444444443,87.09722222222221,0.9097222222222221,-0.26050347222222264,2.4861111111111107,0.0,1836.0,0.7123536284583759,0.2728712871287129,0.8467599734505223
variable,adult,TIR,100,85.9861111111111,85.375,0.6111111111111108,0.09722222222222192,1.2256944444444446,0.0,1493.0,0.04489328089431682,0.40871287128712874,0.1131310678536784
variable,child,TIR,100,84.09027777777777,77.89236111111111,6.197916666666668,3.617881944444444,9.003819444444446,0.34722222222222854,1514.5,0.0012815826557426781,0.4001980198019802,0.0042494582795678274
nocturnal,adolescent,Time_below_54,100,0.09027777777777779,0.0798611111111111,0.010416666666666664,0.0,0.027777777777777773,0.0,0.0,0.15730444814112687,1.0,0.3003084919057876
nocturnal,adult,Time_below_54,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0
nocturnal,child,Time_below_54,100,1.8333333333333335,8.04513888888889,-6.2118055555555545,-9.330381944444444,-3.406076388888888,0.0,689.5,2.9271069886067017e-05,0.7269306930693069,0.00020489748920246912
standard,adolescent,Time_below_54,100,0.517361111111111,0.4444444444444445,0.07291666666666666,-0.04166666666666668,0.1909722222222222,0.0,283.0,0.03384974206728729,0.8879207920792079,0.08885557292662914
standard,adult,Time_below_54,100,0.1770833333333333,0.2152777777777778,-0.03819444444444445,-0.1909722222222222,0.07291666666666666,0.0,291.0,0.9899791850175192,0.8847524752475248,1.0
standard,child,Time_below_54,100,2.604166666666667,9.3125,-6.708333333333331,-9.895833333333334,-3.87126736111111,0.0,851.0,0.00025472969137970417,0.6629702970297029,0.001002998159807585
variable,adolescent,Time_below_54,100,1.458333333333333,2.7118055555555554,-1.2534722222222223,-2.8682291666666666,-0.08671874999999969,0.0,525.5,0.0612671338831006,0.7918811881188119,0.13785105123697636
variable,adult,Time_below_54,100,0.8611111111111112,1.1840277777777777,-0.32291666666666663,-0.7013888888888888,-0.05555555555555555,0.0,364.0,0.0643371584329367,0.8558415841584158,0.1397669303887935
variable,child,Time_below_54,100,3.7361111111111116,9.989583333333332,-6.253472222222223,-9.156249999999998,-3.6840277777777777,0.0,1197.0,0.00216367419131885,0.525940594059406,0.00649102257395655
