variant,scenario,patient_id,controller_type,TIR,TBR,Time_below_54,Mean_glucose,CV,LBGI
SMPC no chance tightening,variable,3,stochastic_mpc,94.44444444444444,1.7361111111111112,0.0,133.96663877116893,20.484543568700527,0.4978806548832616
SMPC no chance tightening,variable,4,stochastic_mpc,79.16666666666666,13.88888888888889,6.944444444444445,122.72305044460091,31.473189172964045,3.0721254415320467
SMPC no chance tightening,variable,5,stochastic_mpc,84.375,15.625,10.76388888888889,112.60561960471753,30.276646701891565,7.399887680570065
SMPC no chance tightening,variable,6,stochastic_mpc,91.31944444444444,0.0,0.0,150.93384234443948,14.852746977233213,0.004420400243311944
SMPC no chance tightening,variable,7,stochastic_mpc,86.45833333333334,0.0,0.0,145.71725760917582,17.697459709554217,0.007207098964166171
SMPC no chance tightening,variable,8,stochastic_mpc,90.27777777777779,0.0,0.0,142.4182067940044,17.877761149466572,0.0035724212265583
SMPC no chance tightening,variable,9,stochastic_mpc,82.98611111111111,17.01388888888889,14.23611111111111,103.85817147634717,37.013077809565836,13.719845690463998
SMPC no chance tightening,variable,10,stochastic_mpc,87.15277777777779,7.291666666666667,0.0,116.22596705733044,32.68348832384845,2.0224945027484775
SMPC no chance tightening,variable,11,stochastic_mpc,54.861111111111114,31.59722222222222,20.48611111111111,111.38790375911566,52.26395082007826,12.554063310882633
SMPC no chance tightening,variable,12,stochastic_mpc,92.70833333333334,7.291666666666667,1.3888888888888888,112.70043126537884,20.50863682860675,1.4056673238603834
SMPC no chance tightening,variable,13,stochastic_mpc,85.41666666666666,4.166666666666666,0.0,133.90481417762123,28.014428396043154,0.9020672697837502
SMPC no chance tightening,variable,14,stochastic_mpc,92.01388888888889,7.986111111111111,6.25,116.19388486055111,25.4526036107566,3.2315539266684556
SMPC no chance tightening,variable,15,stochastic_mpc,65.27777777777779,24.305555555555554,12.5,114.57597423953133,43.10564995567515,7.910939190213999
SMPC no chance tightening,variable,16,stochastic_mpc,97.91666666666666,0.3472222222222222,0.0,123.7815012302125,23.13103187380243,0.5747523795707834
SMPC no chance tightening,variable,17,stochastic_mpc,73.26388888888889,2.430555555555556,0.0,144.25776342516625,28.256654183812227,0.6661483365418457
SMPC no chance tightening,variable,18,stochastic_mpc,98.95833333333334,1.0416666666666665,0.0,111.51583232815815,23.66468986692968,1.0139419680270167
SMPC no chance tightening,variable,19,stochastic_mpc,93.75,0.0,0.0,129.01537333942971,21.85755480070143,0.1444681069332994
SMPC short horizon,variable,0,stochastic_mpc,90.625,9.027777777777777,4.861111111111112,114.09644661754176,28.80626014970499,3.3007412218510113
SMPC short horizon,variable,1,stochastic_mpc,99.65277777777779,0.3472222222222222,0.0,116.24855355967368,13.61900840291417,0.4065737239182645
SMPC short horizon,variable,2,stochastic_mpc,54.861111111111114,40.625,13.541666666666666,98.755427703942,44.79592155820017,7.120930310893022
SMPC short horizon,variable,3,stochastic_mpc,97.22222222222221,1.3888888888888888,0.0,119.85912485599768,22.73735896870511,0.8488737295444375
SMPC short horizon,variable,4,stochastic_mpc,69.09722222222221,23.61111111111111,8.680555555555555,101.2882643766749,40.268268575348024,5.6292197825206705
SMPC short horizon,variable,5,stochastic_mpc,79.51388888888889,20.48611111111111,7.638888888888889,97.7253209114811,33.23640265968042,5.866763867029549
SMPC short horizon,variable,6,stochastic_mpc,81.94444444444444,17.708333333333336,13.541666666666666,116.47465872753875,35.69410916939269,7.618833253637437
